post,visa_class,issuances,year,month,source_file,date,country
Abidjan,F1,117,2023,1,2023_01_post.xlsx,2023-01-01,
Abidjan,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Abu Dhabi,F1,58,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Abu Dhabi,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Abu Dhabi,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Abuja,F1,35,2023,1,2023_01_post.xlsx,2023-01-01,Nigeria
Abuja,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,Nigeria
Accra,F1,192,2023,1,2023_01_post.xlsx,2023-01-01,Ghana
Accra,J1,26,2023,1,2023_01_post.xlsx,2023-01-01,Ghana
Accra,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Ghana
Addis Ababa,F1,93,2023,1,2023_01_post.xlsx,2023-01-01,
Addis Ababa,J1,23,2023,1,2023_01_post.xlsx,2023-01-01,
AIT Taipei,F1,272,2023,1,2023_01_post.xlsx,2023-01-01,Taiwan
AIT Taipei,J1,80,2023,1,2023_01_post.xlsx,2023-01-01,Taiwan
AIT Taipei,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Taiwan
Algiers,F1,34,2023,1,2023_01_post.xlsx,2023-01-01,
Algiers,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Almaty,F1,12,2023,1,2023_01_post.xlsx,2023-01-01,Kazakhstan
Almaty,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,Kazakhstan
Amman,F1,67,2023,1,2023_01_post.xlsx,2023-01-01,
Amman,J1,31,2023,1,2023_01_post.xlsx,2023-01-01,
Amsterdam,F1,54,2023,1,2023_01_post.xlsx,2023-01-01,Netherlands
Amsterdam,J1,179,2023,1,2023_01_post.xlsx,2023-01-01,Netherlands
Amsterdam,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Netherlands
Ankara,F1,56,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Ankara,J1,96,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Ankara,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Antananarivo,F1,28,2023,1,2023_01_post.xlsx,2023-01-01,
Antananarivo,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Ashgabat,F1,13,2023,1,2023_01_post.xlsx,2023-01-01,
Ashgabat,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Astana,F1,17,2023,1,2023_01_post.xlsx,2023-01-01,Kazakhstan
Astana,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,Kazakhstan
Asuncion,F1,13,2023,1,2023_01_post.xlsx,2023-01-01,
Asuncion,J1,24,2023,1,2023_01_post.xlsx,2023-01-01,
Athens,F1,30,2023,1,2023_01_post.xlsx,2023-01-01,
Athens,J1,36,2023,1,2023_01_post.xlsx,2023-01-01,
Auckland,F1,31,2023,1,2023_01_post.xlsx,2023-01-01,New Zealand
Auckland,J1,61,2023,1,2023_01_post.xlsx,2023-01-01,New Zealand
Baghdad,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Baghdad,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Baku,F1,27,2023,1,2023_01_post.xlsx,2023-01-01,
Baku,J1,13,2023,1,2023_01_post.xlsx,2023-01-01,
Bamako,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Bamako,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Bandar Seri Begawan,F1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Bandar Seri Begawan,J1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Bangkok,F1,128,2023,1,2023_01_post.xlsx,2023-01-01,Thailand
Bangkok,J1,822,2023,1,2023_01_post.xlsx,2023-01-01,Thailand
Bangkok,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Thailand
Banjul,F1,9,2023,1,2023_01_post.xlsx,2023-01-01,
Banjul,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Beijing,F1,768,2023,1,2023_01_post.xlsx,2023-01-01,China
Beijing,J1,161,2023,1,2023_01_post.xlsx,2023-01-01,China
Beijing,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,China
Beirut,F1,22,2023,1,2023_01_post.xlsx,2023-01-01,
Beirut,J1,30,2023,1,2023_01_post.xlsx,2023-01-01,
Belfast,F1,21,2023,1,2023_01_post.xlsx,2023-01-01,United Kingdom
Belfast,J1,85,2023,1,2023_01_post.xlsx,2023-01-01,United Kingdom
Belgrade,F1,83,2023,1,2023_01_post.xlsx,2023-01-01,Serbia
Belgrade,J1,20,2023,1,2023_01_post.xlsx,2023-01-01,Serbia
Belmopan,F1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Belmopan,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Belmopan,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Berlin,F1,55,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Berlin,J1,181,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Berlin,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Bern,F1,109,2023,1,2023_01_post.xlsx,2023-01-01,Switzerland
Bern,J1,158,2023,1,2023_01_post.xlsx,2023-01-01,Switzerland
Bern,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Switzerland
Bishkek,F1,48,2023,1,2023_01_post.xlsx,2023-01-01,
Bishkek,J1,16,2023,1,2023_01_post.xlsx,2023-01-01,
Bogota,F1,232,2023,1,2023_01_post.xlsx,2023-01-01,Colombia
Bogota,J1,502,2023,1,2023_01_post.xlsx,2023-01-01,Colombia
Bogota,M1,6,2023,1,2023_01_post.xlsx,2023-01-01,Colombia
Brasilia,F1,44,2023,1,2023_01_post.xlsx,2023-01-01,Brazil
Brasilia,J1,108,2023,1,2023_01_post.xlsx,2023-01-01,Brazil
